Designator,Mid X,Mid Y,Rotation,Layer
C1,147.100001,-83.4,180.0,top
C2,157.25,-82.099999,270.0,top
C3,163.75,-82.0375,90.0,top
C4,172.85,-82.0375,90.0,top
C5,152.35,-76.065001,90.0,top
J1,164.55,-66.705,0.0,top
J2,147.4825,-75.745,270.0,top
J3,157.5,-77.845,180.0,top
J4,165.5,-77.845,180.0,top
J5,173.5,-77.9,180.0,top
J6,181.5,-77.844999,180.0,top
MH1,146.28,-67.34,0.0,top
MH2,183.28,-83.09,0.0,top
R1,166.75,-82.0375,270.0,top
R2,169.75,-82.0375,270.0,top
R3,175.75,-82.0375,270.0,top
R4,180.25,-82.0375,270.0,top
U1,151.800001,-83.4,90.0,top
U2,160.2875,-82.187499,180.0,top
