Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C18, C2, C3, C5, C6",0402,9,100nF,
C11,0402,1,22nF,
"C12, C8",0805,2,4.7uF,
C14,0603,1,22uF,
"C15, C7",0805,2,47uF,
"C17, C19, C20, C9",0402,4,1uF,
C4,0402,1,220nF,
D1,D_SMB,1,SMBJ33CA,
"D2, D3, D4",SS16HE,3,SS16HE,
D5,SOT-23,1,ESDS452,
D6,SOT-23-6,1,USBLC6-2SC6,
D7,D_SMA,1,30V,
D8,APDA3020LSECKJ3PF,1,Red,
D9,SK6812-4020,1,SK6812-4020,
J1,1017507,1,1017505,
J2,SAMTEC_SFMC-103-01-L-D,1,~,
J3,1017507,1,1017507,
J4,HRO_TYPE-C-31-M-12,1,USB-C,
L1,0805,1,1uH,
M1,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan_CPU_4pin,
"MH1, MH2",97730606332R,2,~,
"Q1, Q2, Q3, Q4",TRANS_TQM050NB06CR_RLG,4,TQM050NB06CR,
"Q5, Q6, Q7, Q8, Q9",TO-252-2,5,NCV8411,
R1,2512,1,8mΩ,
R10,0402,1,200KΩ,
"R11, R14, R22, R23",0402,4,5.1KΩ,
R12,0402,1,75KΩ,
R13,0402,1,24KΩ,
"R15, R16, R17, R18, R21, R24, R8, R9",0402,8,10KΩ,
"R19, R20",0402,2,1kΩ,
"R2, R3",0402,2,0Ω,
R25,0402,1,750Ω,
"R4, R5",0402,2,100KΩ,
R6,0402,1,2.87KΩ,
R7,0402,1,2.2KΩ,
"SW1, SW2",SW_SPST_B3U-1000P-B,2,~,
U1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TMP1075,
U2,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,1,LM74912-Q1,
U3,QFN-19,1,MPM3506AGQV-P,
U4,VSSOP-10_3x3mm_P0.5mm,1,INA238,
"U5, U9",DHWQFN-14-1EP_2.5x3mm_P0.5mm_EP1x1.5mm,2,74AHCT32,
U6,SOT-23-5,1,TPS613222ADBV,
U7,ESP32-C3-MINI-1-N4X,1,ESP32-C3-MINI-1,
U8,SOT-89-3,1,AP7384-33Y,
