Designator,Mid X,Mid Y,Rotation,Layer
C1,172.15,-54.2,270.0,top
C10,175.55,-69.85,90.0,top
C11,151.280846,-73.96095,180.0,top
C12,155.85,-75.15,0.0,top
C13,174.15,-75.55,90.0,top
C14,172.155846,-77.12,90.0,top
C15,155.4875,-77.850001,90.0,top
C16,172.155846,-79.525,90.0,top
C17,157.25,-81.55,90.0,top
C18,178.05,-81.730002,270.0,top
C19,139.1,-85.25,270.0,top
C2,155.52,-54.45,0.0,top
C20,151.05,-84.88,270.0,top
C3,146.35,-55.25,0.0,top
C4,155.52,-55.5625,0.0,top
C5,171.05,-55.084999,90.0,top
C6,160.35,-59.4175,270.0,top
C7,153.855846,-67.17595,180.0,top
C8,150.205846,-69.17595,90.0,top
C9,166.194154,-69.410002,90.0,top
D1,148.100001,-63.05,0.0,top
D2,144.25,-70.35,135.0,top
D3,147.95,-73.05,270.0,top
D4,144.900001,-74.4,180.0,top
D5,141.95,-76.9625,270.0,top
D6,145.505846,-78.52,270.0,top
D7,136.5,-83.749999,90.0,top
D8,175.75,-85.3,180.0,top
D9,153.75,-86.15,0.0,top
J1,133.1,-63.36,270.0,top
J2,164.55,-66.705,0.0,top
J3,213.39157,-67.8062,90.0,top
J4,145.508846,-86.556,0.0,top
L1,152.375,-75.15,180.0,top
M1,129.02,-81.9,0.0,top
MH1,146.28,-67.34,0.0,top
MH2,183.28,-83.09,0.0,top
Q1,149.760001,-45.65,0.0,top
Q2,162.979999,-45.65,180.0,top
Q3,149.760001,-51.195,0.0,top
Q4,162.979999,-51.195,180.0,top
Q5,193.49,-56.15,0.0,top
Q6,193.49,-63.15,0.0,top
Q7,193.49,-70.15,0.0,top
Q8,193.49,-77.15,0.0,top
Q9,193.49,-84.15,0.0,top
R1,177.2125,-48.0,0.0,top
R10,150.150847,-71.275949,180.0,top
R11,175.740001,-72.15,180.0,top
R12,151.280846,-72.960949,0.0,top
R13,153.155846,-72.96095,0.0,top
R14,175.75,-73.15,180.0,top
R15,179.35,-73.05,90.0,top
R16,179.35,-75.45,270.0,top
R17,179.35,-77.95,90.0,top
R18,173.405845,-79.525,90.0,top
R19,130.799998,-79.85,180.0,top
R2,157.0,-54.4,270.0,top
R20,136.459999,-79.85,180.0,top
R21,179.35,-80.140001,270.0,top
R22,142.715845,-80.52,180.0,top
R23,148.095847,-80.42,0.0,top
R24,179.2,-83.540001,90.0,top
R25,172.35,-84.790001,270.0,top
R3,160.040001,-57.4375,180.0,top
R4,150.5,-58.802499,270.0,top
R5,151.5,-58.802499,270.0,top
R6,152.15,-60.640001,270.0,top
R7,153.15,-60.65,270.0,top
R8,163.0,-69.440001,270.0,top
R9,165.1,-69.440001,270.0,top
SW1,160.555845,-68.195,0.0,top
SW2,168.555847,-68.22,0.0,top
U1,169.049999,-55.2,0.0,top
U2,156.25,-58.6875,0.0,top
U3,154.055846,-70.12595,180.0,top
U4,173.25,-69.95,90.0,top
U5,176.75,-76.75,90.0,top
U6,152.45,-77.749999,180.0,top
U7,164.555846,-79.345,180.0,top
U8,154.25,-82.45,270.0,top
U9,175.65,-82.530002,0.0,top
